step,episode_score
16001.0,85.60635831719264
16002.0,56.23890918493271
16003.0,73.57865207642317
16004.0,73.78582567814738
16005.0,57.37211840925738
16006.0,53.36564562562853
16007.0,62.44908279250376
16008.0,49.23900385876186
16009.0,78.31979256006889
16010.0,41.86732912482694
16011.0,89.45922486064956
16012.0,59.55457507725805
16013.0,57.16540246922523
16014.0,52.20525773335248
16015.0,69.66932382714003
16016.0,79.06322229327634
32017.0,149.3385256868787
32018.0,168.95014762924984
32019.0,161.1431220229715
32020.0,146.83549441490322
32021.0,263.1407836340368
32022.0,146.7209983887151
32023.0,259.4516989851836
32024.0,152.70613433793187
32025.0,150.1051227003336
32026.0,272.30594061268494
32027.0,146.1640779133886
32028.0,165.29739082232118
32029.0,311.7846254375763
32030.0,248.6835648866836
32031.0,300.87904539564624
32032.0,158.20408041216433
48033.0,424.4488556981087
48034.0,154.96227065380663
48035.0,447.55451690778136
48036.0,155.23720338754356
48037.0,357.2163162298966
48038.0,436.21210868656635
48039.0,400.2116860020906
48040.0,148.66681008972228
48041.0,166.32309353724122
48042.0,153.51542255096138
48043.0,159.80692898854613
48044.0,166.66033769678324
48045.0,406.1379466793733
48046.0,163.89511783979833
48047.0,155.66333454288542
48048.0,144.4414316797629
64049.0,240.3822404379025
64050.0,171.0060874284245
64051.0,236.2364932075143
64052.0,318.9132587420754
64053.0,414.250968312379
64054.0,245.07330616330728
64055.0,235.5851967073977
64056.0,125.92406134586781
64057.0,117.46438505779952
64058.0,111.9980823971564
64059.0,248.00231631379575
64060.0,392.20149146486074
64061.0,373.7920949985273
64062.0,200.70390901551582
64063.0,414.70671089412645
64064.0,431.666475388105
80065.0,391.0091906194575
80066.0,418.2252747793682
80067.0,413.50940264668316
80068.0,81.12998532585334
80069.0,454.51698313781526
80070.0,481.7612499408424
80071.0,457.19982259208336
80072.0,452.8031095485203
80073.0,266.86149790976197
80074.0,420.72610304970294
80075.0,371.8057034672238
80076.0,401.40980760683306
80077.0,369.3137640901841
80078.0,399.19949996913783
80079.0,439.63429658766836
80080.0,457.48027198342606
96081.0,519.2339221839793
96082.0,500.68022889923304
96083.0,487.46788960997947
96084.0,401.7747556461254
96085.0,465.1599275714252
96086.0,420.96408104966395
96087.0,475.6641510137124
96088.0,505.07184058160055
96089.0,426.26908094482496
96090.0,486.12247370928526
96091.0,537.2401882344857
96092.0,453.644871244207
96093.0,548.236180735752
96094.0,531.2278761994094
96095.0,412.05847275280394
96096.0,497.63075419620145
112097.0,514.1898281318136
112098.0,543.2409973740578
112099.0,535.134880812373
112100.0,503.29832595586777
112101.0,478.9061746879015
112102.0,456.57250679132994
112103.0,488.9234954507556
112104.0,547.0521979187615
112105.0,502.0359333244851
112106.0,459.48691919608973
112107.0,493.1338718878105
112108.0,483.0421309261583
112109.0,506.7052626395598
112110.0,490.39064686826896
112111.0,534.8268174445257
112112.0,547.3603267674334
128113.0,601.1366524905898
128114.0,581.5442858096212
128115.0,433.46234040986747
128116.0,528.4456487628631
128117.0,583.5034952475689
128118.0,614.9758057352155
128119.0,618.68176758755
128120.0,584.9916062336415
128121.0,572.754390885355
128122.0,559.8485167790204
128123.0,404.27486741309986
128124.0,522.2546775811352
128125.0,568.168905173894
128126.0,513.4183085677214
128127.0,416.8440328016877
128128.0,589.8228949662298
144129.0,631.76890838705
144130.0,624.6002782274736
144131.0,566.1784502081573
144132.0,608.3204134167172
144133.0,306.67568265413865
144134.0,557.7822075579315
144135.0,297.67642709589563
144136.0,478.5875414427137
144137.0,419.8789132873062
144138.0,627.8985820885282
144139.0,578.9244347002823
144140.0,479.8476662725443
144141.0,562.0926126311533
144142.0,450.01328892819583
144143.0,446.7868217776995
144144.0,601.703570892103
160145.0,518.1859642937779
160146.0,631.8265914665535
160147.0,641.2313907518983
160148.0,497.5685900244862
160149.0,463.7059198739007
160150.0,674.9630027413368
160151.0,554.3040826327633
160152.0,612.1479997299612
160153.0,620.3780350529123
160154.0,589.7157913288102
160155.0,613.0531937398482
160156.0,431.83076403615996
160157.0,648.2459360497305
160158.0,563.8337019738974
160159.0,673.6222959198058
160160.0,595.2430144967511
176161.0,691.9264653362334
176162.0,733.65429456532
176163.0,658.8788459133357
176164.0,610.1350701954216
176165.0,686.2332988418639
176166.0,682.3974947119132
176167.0,680.2724765930325
176168.0,698.3852855580626
176169.0,596.8738614954054
176170.0,679.2311080340296
176171.0,603.3252129089087
176172.0,581.439719195012
176173.0,643.2833057532553
176174.0,633.6342532522976
176175.0,601.3540992725175
176176.0,658.2886587739922
192177.0,732.328121855855
192178.0,659.2038108054549
192179.0,758.9367214497179
192180.0,639.4617154123262
192181.0,744.738908261992
192182.0,686.7375908093527
192183.0,690.7635799059644
192184.0,707.3668183060363
192185.0,577.562463408336
192186.0,597.8551442641765
192187.0,705.5380308870226
192188.0,686.0800419338048
192189.0,689.7346462933347
192190.0,720.623623194173
192191.0,633.2226046435535
192192.0,739.219968592748
208193.0,695.765981731005
208194.0,682.3999349595979
208195.0,658.6767642777413
208196.0,743.866252059117
208197.0,686.390632760711
208198.0,685.6041906616883
208199.0,573.3579044861253
208200.0,768.9674221696332
208201.0,740.05752941221
208202.0,650.1933267861605
208203.0,761.4710383675992
208204.0,699.660848593805
208205.0,726.5186170749366
208206.0,743.8137006713077
208207.0,733.2081682933494
208208.0,764.829715221189
224209.0,849.4551989566535
224210.0,750.4781424514949
224211.0,762.5680106552318
224212.0,833.19047787413
224213.0,597.7136435736902
224214.0,798.1565674499143
224215.0,806.3805789831094
224216.0,811.1054706353461
224217.0,672.008523214492
224218.0,817.083922592923
224219.0,764.9339597474318
224220.0,420.59956741170026
224221.0,663.253016334027
224222.0,716.7709966008551
224223.0,757.4712534255814
224224.0,834.1628502430394
240225.0,872.7941932269605
240226.0,721.2398837958463
240227.0,537.2925912737846
240228.0,782.7908651765902
240229.0,823.6313149434282
240230.0,718.4340171618387
240231.0,771.1860569915734
240232.0,769.0490224901587
240233.0,784.014576499816
240234.0,868.4511025557294
240235.0,668.1313411993906
240236.0,820.1648317989893
240237.0,873.8274193361867
240238.0,824.2684462824836
240239.0,892.7511263915803
240240.0,852.4478201112943
256241.0,883.7171673988923
256242.0,789.4681970179081
256243.0,864.9255737522617
256244.0,874.1933024805039
256245.0,892.4642418436706
256246.0,827.3609475740232
256247.0,893.5388136194088
256248.0,536.055768694263
256249.0,914.3369549345225
256250.0,829.9872321141884
256251.0,707.6437581256032
256252.0,594.4123933715746
256253.0,847.3601091154851
256254.0,904.942420235835
256255.0,791.0169226774015
256256.0,848.6986699202098
272257.0,762.9651561044157
272258.0,807.5889014943969
272259.0,877.3375895558856
272260.0,881.6177504706429
272261.0,859.9972524419427
272262.0,722.054743880406
272263.0,769.1714123168495
272264.0,743.0778967945371
272265.0,863.9121864456683
272266.0,717.7004944086075
272267.0,640.2236739411019
272268.0,947.6618773997761
272269.0,727.1506714886054
272270.0,740.4992248883937
272271.0,892.3151744939387
272272.0,884.4107088369783
288273.0,716.8026817330392
288274.0,950.458688753657
288275.0,903.3999462290667
288276.0,901.2776704570279
288277.0,827.0035677971318
288278.0,887.7321136831306
288279.0,895.2006691833958
288280.0,898.9861760442145
288281.0,842.4504875508137
288282.0,899.6318651419133
288283.0,938.2543896660209
288284.0,823.9400702770799
288285.0,898.2091847006232
288286.0,925.0219181049615
288287.0,762.6680249534547
288288.0,943.4488913952373
304289.0,866.1533889840357
304290.0,896.3074484219542
304291.0,908.9099317516666
304292.0,893.3055075975135
304293.0,940.3242070209235
304294.0,900.873976021423
304295.0,968.5436295866966
304296.0,837.8568264883943
304297.0,827.1297430838458
304298.0,868.2088929805905
304299.0,932.7139993475284
304300.0,783.4287074068561
304301.0,816.7374562881887
304302.0,902.2735946439207
304303.0,929.7753486824222
304304.0,834.6801389735192
320305.0,900.3952599846525
320306.0,927.6548012988642
320307.0,958.2376844808459
320308.0,887.167172648944
320309.0,897.8674951544963
320310.0,897.30645493255
320311.0,884.0616530327825
320312.0,952.8555504898541
320313.0,895.5625459104776
320314.0,934.65334616974
320315.0,947.0439230622724
320316.0,911.5827297382057
320317.0,854.4883733964525
320318.0,913.9184825562406
320319.0,964.0597688257694
320320.0,946.7678908407688
336321.0,968.7578205037862
336322.0,967.4929874874651
336323.0,932.5200773952529
336324.0,976.4278270155191
336325.0,945.4398183226585
336326.0,905.317632026854
